"", "Model Other", "Model War", "Model War Retrained"
"Levensthein Distance (Char.)", "7", "127", "121"
"Levensthein Distance (Words)", "6", "50", "43"
"Word Error Rate (WER in %)", "8.955", "74.626", "64.179"
"Char. Error Rate (CER in %)", "1.369", "24.853", "23.679"
"Word Accuracy (Wacc in %)", "91.044", "25.373", "35.82"
"Hits", "504", "386", "393"
"Substitutions", "4", "116", "109"
"Deletions", "3", "9", "9"
"Insertions", "0", "2", "3"
"Total char. in reference", "511", "511", "511"
"Total char. in prediction", "508", "504", "505"
