"", "Model Other", "Model War", "Model War Retrained"
"Levensthein Distance (Char.)", "5", "25", "19"
"Levensthein Distance (Words)", "2", "22", "16"
"Word Error Rate (WER in %)", "0.803", "8.835", "6.451"
"Char. Error Rate (CER in %)", "0.316", "1.582", "1.204"
"Word Accuracy (Wacc in %)", "99.196", "91.164", "93.548"
"Hits", "1576", "1557", "1558"
"Substitutions", "0", "18", "18"
"Deletions", "4", "5", "1"
"Insertions", "1", "2", "0"
"Total char. in reference", "1580", "1580", "1577"
"Total char. in prediction", "1577", "1577", "1576"
