"", "Model Other", "Model War", "Model War Retrained"
"Levensthein Distance (Char.)", "11", "56", "55"
"Levensthein Distance (Words)", "7", "44", "46"
"Word Error Rate (WER in %)", "2.661", "16.73", "17.49"
"Char. Error Rate (CER in %)", "0.684", "3.484", "3.422"
"Word Accuracy (Wacc in %)", "97.338", "83.269", "82.509"
"Hits", "1597", "1553", "1553"
"Substitutions", "7", "43", "43"
"Deletions", "3", "11", "11"
"Insertions", "1", "2", "1"
"Total char. in reference", "1607", "1607", "1607"
"Total char. in prediction", "1605", "1598", "1597"
