"Word", "Number of occurrences"
"donnent", "7"
"discipline", "7"
"excellent", "7"
"compatriotes", "7"
"régler", "7"
"complète", "7"
"violation", "7"
"vain", "7"
"rues", "7"
"conclusion", "7"
"résolution", "7"
"normal", "7"
"tranchées", "7"
"destructions", "7"
"voyageurs", "7"
"agir", "7"
"réunis", "7"
"laisse", "7"
"vaincre", "7"
"pensée", "7"
"lors", "7"
"commence", "7"
"viennent", "7"
"train", "7"
"socialiste", "7"
"crédit", "7"
"espoir", "7"
"bientôt", "7"
"petites", "7"
"articles", "7"
"bénéfices", "7"
"largement", "7"
"constate", "7"
"mouvement", "7"
"réclame", "7"
"incalculable", "7"
"moderne", "7"
"paroles", "7"
"voulons", "7"
"répondre", "7"
"italiens", "7"
"ciel", "7"
"attente", "7"
"serais", "7"
"influence", "7"
"souffert", "7"
"serbie", "7"
"langage", "7"
"aient", "7"
"instruire", "7"
"triompher", "7"
"aurai", "7"
"nobles", "7"
"trouvera", "7"
"aussitôt", "7"
"traités", "7"
"pleins", "7"
"chevaux", "7"
"soleil", "7"
"fournisseurs", "7"
"bois", "7"
"derniers", "7"
"restent", "7"
"condition", "7"
"ouest", "7"
"nouvel", "7"
"indispensables", "7"
"asie", "7"
"génie", "7"
"sol", "7"
"constaté", "7"
"tôt", "7"
"couverts", "7"
"cœur", "7"
"faible", "7"
"reprend", "7"
"château", "7"
"savent", "7"
"fonctions", "7"
"pertes", "7"
"autrefois", "7"
"ambassadeur", "7"
"mme", "7"
"banquet", "7"
"rare", "7"
"fille", "7"
"soins", "7"
"reçois", "7"
"societe", "7"
"incomparable", "7"
"connu", "7"
"main", "7"
"semblait", "7"
"keppel", "7"
"venizelos", "7"
"ajouter", "7"
"coopération", "7"
"bonnes", "7"
"manque", "7"
"prie", "7"
"générales", "7"
"dr", "7"
"prudhommeaux", "7"
"messieurs", "7"
"autocratie", "7"
"prussienne", "7"
"entreprise", "7"
"ruinée", "7"
"lapradelle", "7"
"voeux", "7"
"signature", "7"
"nationaux", "7"
"richet", "7"
"rapide", "7"
"arrivée", "7"
"%", "7"
"développement", "6"
"moral", "6"
"capable", "6"
"indifférent", "6"
"furent", "6"
"devaient", "6"
"fautes", "6"
"ministres", "6"
"côtés", "6"
"concevoir", "6"
"pitié", "6"
"publié", "6"
"reprocher", "6"
"organisées", "6"
"colonel", "6"
"hasard", "6"
"résumé", "6"
"bénéfice", "6"
"arrivent", "6"
"école", "6"
"professeurs", "6"
"cultivateurs", "6"
"coupables", "6"
"xiv", "6"
"certitude", "6"
"portugal", "6"
"goût", "6"
"victoires", "6"
"tuer", "6"
"époque", "6"
"nulle", "6"
"injustice", "6"
"oublions", "6"
"apparence", "6"
"voudrais", "6"
"serait-ce", "6"
"risque", "6"
"déclarée", "6"
"manœuvres", "6"
"conflits", "6"
"rendus", "6"
"intérieur", "6"
"paient", "6"
"reprise", "6"
"attaque", "6"
"siège", "6"
"profit", "6"
"désintéressé", "6"
"charme", "6"
"célèbre", "6"
"reconnaissance", "6"
"sauvé", "6"
"voudrait", "6"
"civile", "6"
"défaut", "6"
"garanties", "6"
"entreprises", "6"
"exemplaires", "6"
"renault", "6"
"tzar", "6"
"bases", "6"
"conséquence", "6"
"connaître", "6"
"russe", "6"
"douloureuse", "6"
"événements", "6"
"national", "6"
"sérieuse", "6"
"intérieure", "6"
"termes", "6"
"camp", "6"
"passe", "6"
"parlementaire", "6"
"justifier", "6"
"conviction", "6"
"miracle", "6"
"débats", "6"
"culture", "6"
"belles", "6"
"toucher", "6"
"récemment", "6"
"délibérations", "6"
"révolte", "6"
"condamnée", "6"
"fêtes", "6"
"britannique", "6"
"annonce", "6"
"récolte", "6"
"préparé", "6"
"systématique", "6"
"riche", "6"
"saint", "6"
"vieille", "6"
"variés", "6"
"quelques-uns", "6"
"insiste", "6"
"profits", "6"
"preuve", "6"
"belligérants", "6"
"établi", "6"
"disparu", "6"
"enrichis", "6"
"naturel", "6"
"regret", "6"
"repris", "6"
"dîner", "6"
"chargé", "6"
"arrivés", "6"
"décider", "6"
"continuer", "6"
"tableaux", "6"
"disent", "6"
"épargner", "6"
"victime", "6"
"obstacle", "6"
"remettre", "6"
"décès", "6"
"horrible", "6"
"emploi", "6"
"initiatives", "6"
"source", "6"
"milieux", "6"
"refuse", "6"
"usines", "6"
"fonctionnaires", "6"
"magasins", "6"
"entrée", "6"
"comptes", "6"
"prochaine", "6"
"voudra", "6"
"in", "6"
"contribution", "6"
"désarmement", "6"
"siècle", "6"
"est-il", "6"
"industrie", "6"
"estime", "6"
"appui", "6"
"pensants", "6"
"direction", "6"
"utiliser", "6"
"santé", "6"
"garder", "6"
"assemblées", "6"
"organisme", "6"
"constater", "6"
"problèmes", "6"
"suffit", "6"
"disposition", "6"
"domine", "6"
"opposer", "6"
"plaindre", "6"
"élever", "6"
"manoeuvres", "6"
"directeur", "6"
"er", "6"
"imposer", "6"
"eau", "6"
"cordiale", "6"
"foyer", "6"
"compromettre", "6"
"herriot", "6"
"ose", "6"
"décidé", "6"
"appelé", "6"
"électorale", "6"
"financier", "6"
"bibliothèque", "6"
"bonnétable", "6"
"important", "6"
"signé", "6"
"gare", "6"
"certainement", "6"
"lude", "6"
"voté", "6"
"monument", "6"
"période", "6"
"canton", "6"
"communes", "6"
"suivi", "6"
"conséquences", "6"
"répète", "6"
"rhin", "6"
"silence", "6"
"met", "6"
"charbon", "6"
"reproche", "6"
"reconnaissant", "6"
"aurez", "6"
"triste", "6"
"quotidien", "6"
"fl", "6"
"èche", "6"
"local", "6"
"veille", "6"
"scandale", "6"
"haute-cour", "6"
"institut", "6"
"participation", "6"
"vieilles", "6"
"caporalisme", "6"
"remplacer", "6"
"résumer", "6"
"débuts", "6"
"intervention", "6"
"profite", "6"
"prend", "6"
"tranquille", "6"
"tardieu", "6"
"genève", "6"
"pourvu", "6"
"prof", "6"
"présents", "6"
"travailler", "6"
"souhaiter", "6"
"délégué", "6"
"fasse", "6"
"nationales", "6"
"caractère", "6"
"absence", "6"
"savoie", "6"
"offert", "6"
"=", "6"
"nicolay", "6"
"sir", "6"
"duc", "6"
"salle", "6"
"marlborough", "6"
"sunderland", "6"
"&amp", "6"
"repos", "5"
"sensible", "5"
"conduite", "5"
"frappé", "5"
"prévu", "5"
"diplomatiques", "5"
"and", "5"
"rappeler", "5"
"corps", "5"
"poincaré", "5"
"dommage", "5"
"disait", "5"
"horreur", "5"
"clémenceau", "5"
"communiquer", "5"
"appels", "5"
"permis", "5"
"complètement", "5"
"inutile", "5"
"auriez", "5"
"échoué", "5"
"officier", "5"
"ment", "5"
"cris", "5"
"égarer", "5"
"aimer", "5"
"puissances", "5"
"vaut", "5"
"afrique", "5"
"intéresser", "5"
"entretenir", "5"
"visites", "5"
"pratique", "5"
"veux", "5"
"infini", "5"
"borner", "5"
"produit", "5"
"envoyé", "5"
"incapable", "5"
"regrette", "5"
"application", "5"
"termine", "5"
"dernières", "5"
"officielles", "5"
"ressource", "5"
"publier", "5"
"maintes", "5"
"premiers", "5"
"combattu", "5"
"obtenu", "5"
"récompense", "5"
"mystification", "5"
"tristesse", "5"
"entraîner", "5"
"voulez", "5"
"ecole", "5"
"est-ce", "5"
"traiter", "5"
"propres", "5"
"dirai", "5"
"grandeur", "5"
"vieillards", "5"
"gouvernementale", "5"
"signaler", "5"
"humaines", "5"
"dirais", "5"
"bonté", "5"
"etatsunis", "5"
"voitures", "5"
"croyais", "5"
"proposition", "5"
"sympathie", "5"
"camarades", "5"
"rappelle", "5"
"acquis", "5"
"séances", "5"
"voies", "5"
"civil", "5"
"marché", "5"
"convois", "5"
"exception", "5"
"voyons", "5"
"durer", "5"
"permissionnaires", "5"
"pièces", "5"
"lumière", "5"
"nes", "5"
"rêve", "5"
"forte", "5"
"printemps", "5"
"chargés", "5"
"individuel", "5"
"berne", "5"
"fameuse", "5"
"tromper", "5"
"sacrifiée", "5"
"orient", "5"
"classique", "5"
"cuisine", "5"
"fleurs", "5"
"cru", "5"
"attendait", "5"
"réparation", "5"
"pourraient", "5"
"dépensé", "5"
"sources", "5"
"rétablie", "5"
"réclamer", "5"
"commissions", "5"
"contrôle", "5"
"engager", "5"
"province", "5"
"autos", "5"
"magasin", "5"
"retard", "5"
"encourager", "5"
"kaiser", "5"
"dénouement", "5"
"inférieur", "5"
"terrain", "5"
"repas", "5"
"substance", "5"
"considération", "5"
"croyez", "5"
"combattants", "5"
"compléter", "5"
"impérial", "5"
"atteinte", "5"
"borné", "5"
"acte", "5"
"candidats", "5"
"pacifisme", "5"
"sentir", "5"
"ferme", "5"
"surpris", "5"
"masse", "5"
"journées", "5"
"duré", "5"
"classe", "5"
"effroyable", "5"
"aurions", "5"
"vaincus", "5"
"jurisconsulte", "5"
"coupable", "5"
"déclarer", "5"
"commis", "5"
"régiment", "5"
"acheter", "5"
"trouvent", "5"
"pain", "5"
"filles", "5"
"paiera", "5"
"applaudi", "5"
"numéro", "5"
"exécution", "5"
"prendra", "5"
"voulaient", "5"
"andré", "5"
"émulation", "5"
"intellectuels", "5"
"figaro", "5"
"hécatombes", "5"
"meubles", "5"
"sud", "5"
"pareille", "5"
"former", "5"
"étape", "5"
"efficacité", "5"
"bons", "5"
"revenus", "5"
"retourner", "5"
"regard", "5"
"foyers", "5"
"date", "5"
"frère", "5"
"représenter", "5"
"collègue", "5"
"fortifier", "5"
"natalité", "5"
"maîtres", "5"
"ter", "5"
"indéfiniment", "5"
"oppression", "5"
"mains", "5"
"compte-rendu", "5"
"aggravation", "5"
"molitor", "5"
"restés", "5"
"conservateurs", "5"
"quitté", "5"
"heureuse", "5"
"puech", "5"
"envisager", "5"
"appris", "5"
"naître", "5"
"straus", "5"
"franco-américaine", "5"
"excellente", "5"
"conventions", "5"
"comprends", "5"
"hollande", "5"
"danemark", "5"
"graves", "5"
"conformément", "5"
"suggestion", "5"
"herrick", "5"
"ribot", "5"
"méthode", "5"
"accusé", "5"
"exercice", "5"
"augmentations", "5"
"(mlle", "5"
"actuel", "5"
"passant", "5"
"groupes", "5"
"équipes", "5"
"crains", "5"
"exercé", "5"
"délégués", "5"
"folie", "5"
