"tokens","occurrences"
"nich","283"
"eine","253"
"wurd","192"
"nach","168"
"dass","150"
"alle","133"
"dies","129"
"habe","128"
"sich","122"
"noch","122"
"hatt","112"
"ware","109"
"auch","102"
"sche","95"
"chen","87"
"mein","85"
"werd","84"
"muss","76"
"lich","74"
"aber","74"
"unse","71"
"durc","64"
"schr","63"
"dann","63"
"vers","62"
"gesc","62"
"Lage","62"
"Tant","62"
"viel","61"
"hier","58"
"kein","57"
"ande","56"
"sind","56"
"über","56"
"schl","55"
"sein","54"
"ihre","51"
"Frau","51"
"unte","51"
"konn","51"
"Nach","50"
"Jude","49"
"mehr","49"
"soll","48"
"kann","47"
"ging","47"
"Arbe","46"
"komm","45"
"scho","45"
"Leut","45"
"sehr","44"
"wenn","43"
"Tage","43"
"chte","42"
"Zeit","42"
"dort","42"
"ganz","42"
"mmen","41"
"woll","41"
"Wien","39"
"Wohn","39"
"eibe","39"
"ausg","38"
"wird","37"
"ange","37"
"mich","37"
"oder","36"
"unge","36"
"ngen","36"
"isch","36"
"erst","36"
"zwei","35"
"Geld","35"
"gros","34"
"ende","33"
"Mens","33"
"Haus","33"
"ssen","33"
"wied","33"
"Mart","33"
"klei","32"
"kame","32"
"gest","32"
"fahr","32"
"Gren","31"
"usge","31"
"imme","31"
"jede","31"
"mach","31"
"denn","31"
"Dies","30"
"abge","30"
"lten","30"
"jüdi","30"
"erha","30"
"scha","29"
"acht","29"
"auss","29"
"Kind","29"
"eing","28"
"best","28"
"Jahr","28"
"spor","28"
"gehe","28"
"Kult","28"
"zurü","27"
"Stra","27"
"Tran","27"
"schi","27"
"fuer","27"
"gebe","26"
"erle","26"
"dami","26"
"weil","26"
"etwa","26"
"jetz","26"
"Brie","26"
"Lebe","25"
"doch","25"
"fuhr","25"
"Herr","24"
"schw","24"
"verl","24"
"asse","24"
"weit","24"
"Gest","24"
"will","24"
"jedo","24"
"Ihne","24"
"Frit","24"
"erte","23"
"Schu","23"
"selb","23"
"lang","23"
"Pers","22"
"eini","22"
"Sach","22"
"eben","22"
"Mein","22"
"sagt","22"
"eise","21"
"nden","21"
"Gesc","21"
"weni","21"
"Deut","21"
"Mutt","21"
"iert","21"
"rlic","21"
"nder","21"
"glei","21"
"esse","21"
"aben","21"
"Visu","21"
"dene","20"
"Woch","20"
"stan","20"
"verb","20"
"beso","20"
"Mann","20"
"Schw","20"
"verh","20"
"rung","19"
"hren","19"
"gege","19"
"brac","19"
"sond","19"
"beim","19"
"lass","19"
"stel","19"
"würd","19"
"Dann","19"
"Pole","19"
"onen","18"
"eige","18"
"sten","18"
"Schl","18"
"alte","18"
"könn","18"
"vorg","18"
"Klei","18"
"rech","18"
"morg","18"
"lieb","18"
"Verh","17"
"einz","17"
"weis","17"
"aufg","17"
"eten","17"
"Unte","17"
"este","17"
"Esse","17"
"müss","17"
"beko","17"
"hrie","17"
"sehe","17"
"Leni","17"
"Dein","17"
"Aber","17"
"lung","16"
"oslo","16"
"beka","16"
"steh","16"
"gese","16"
"folg","16"
"seit","16"
"arbe","16"
"leic","16"
"Nazi","16"
"tell","16"
"einm","16"
