"tokens","occurrences"
"the","1650"
"and","455"
"Jew","364"
"The","236"
"for","220"
"was","201"
"wer","186"
"tha","184"
"ish","163"
"had","153"
"ion","145"
"tio","139"
"men","139"
"not","139"
"ing","136"
"pro","134"
"con","133"
"thi","132"
"fro","128"
"sta","114"
"are","111"
"who","110"
"res","109"
"wit","108"
"whi","107"
"ent","106"
"ati","106"
"ort","102"
"per","101"
"all","100"
"tra","93"
"ani","91"
"man","89"
"hav","85"
"ple","80"
"bee","77"
"her","74"
"int","74"
"Com","70"
"com","69"
"cam","68"
"ted","67"
"ter","67"
"wor","64"
"eve","63"
"one","63"
"but","62"
"ber","62"
"dep","60"
"our","60"
"par","58"
"ord","58"
"ien","56"
"peo","55"
"whe","55"
"sho","55"
"gar","55"
"cou","54"
"dis","54"
"ers","54"
"ate","53"
"wil","53"
"app","52"
"tim","52"
"ist","51"
"son","50"
"pre","50"
"iti","49"
"ern","49"
"Rum","49"
"pos","47"
"Fra","47"
"ice","46"
"acc","45"
"est","45"
"mor","44"
"und","44"
"thr","44"
"rea","44"
"rat","44"
"ere","44"
"ins","43"
"oth","43"
"tri","42"
"has","42"
"led","42"
"ore","42"
"als","42"
"cen","42"
"ons","42"
"str","42"
"des","41"
"sen","41"
"hou","41"
"som","41"
"mit","40"
"tin","40"
"out","40"
"rec","40"
"Mrs","40"
"gen","39"
"ula","39"
"lea","39"
"art","39"
"reg","39"
"cal","39"
"any","39"
"law","39"
"Bul","39"
"enk","39"
"sio","38"
"ect","38"
"you","37"
"onl","37"
"off","37"
"Aus","36"
"pri","36"
"tee","36"
"abl","36"
"ine","36"
"mar","36"
"era","35"
"exp","35"
"ian","35"
"Ger","34"
"ver","34"
"Gov","34"
"rep","33"
"gra","33"
"bef","33"
"can","33"
"ble","33"
"his","33"
"cti","33"
"mis","33"
"tak","32"
"arr","32"
"ili","31"
"pla","31"
"ure","31"
"kin","31"
"fir","31"
"ize","31"
"lan","30"
"aft","30"
"sid","30"
"Thi","30"
"cit","30"
"day","29"
"sed","29"
"mea","29"
"abo","29"
"min","29"
"lic","29"
"tto","29"
"gre","28"
"mem","28"
"she","28"
"cha","28"
"end","28"
"fou","28"
"low","28"
"lat","28"
"tho","27"
"sec","27"
"tre","27"
"den","27"
"its","27"
"eri","27"
"two","27"
"wou","27"
"sur","27"
"mus","26"
"rel","26"
"lly","26"
"hea","26"
"new","26"
"age","26"
"Law","26"
"nci","25"
"enc","25"
"nce","25"
"lef","25"
"cat","25"
"ive","25"
"eiv","25"
"see","25"
"ini","25"
"chw","25"
"itz","25"
"ret","24"
"chi","24"
"fam","24"
"giv","24"
"tor","24"
"aga","24"
"ten","24"
"mon","24"
"ity","24"
"act","24"
"emp","24"
"owe","24"
"Cou","23"
"sup","23"
"lar","23"
"pop","23"
"mad","23"
"car","23"
"che","23"
"bei","23"
"anc","23"
"bro","23"
"hin","23"
"wee","23"
"ici","23"
"sin","23"
"ntr","23"
"ain","23"
"sel","23"
"dea","23"
"ris","23"
"ghe","23"
"der","22"
"ind","22"
"ugh","22"
"ass","22"
"liv","22"
"Ges","22"
"tap","22"
"mun","22"
"bec","22"
"fin","22"
"own","22"
"ust","22"
"emb","22"
"ced","22"
"nsp","22"
"die","22"
"fer","21"
"cas","21"
"ess","21"
"ove","21"
"ned","21"
"imp","21"
"ngs","21"
"suc","21"
"ies","21"
"sti","21"
"ant","21"
"spe","21"
"lin","21"
"too","21"
"ces","21"
"dec","21"
"Naz","21"
"uti","20"
"tel","20"
"lis","20"
"tle","20"
"org","20"
"ste","20"
"fac","20"
"mat","20"
"ear","20"
"old","20"
"yea","20"
"eas","20"
"nat","20"
"mer","20"
"ans","20"
"adm","20"
"foo","20"
"kno","19"
"pol","19"
"For","19"
"Cze","19"
"num","19"
"din","19"
"tur","19"
"ses","19"
"rie","19"
"nec","19"
"att","19"
"sol","19"
"cer","19"
"med","19"
"ide","19"
"cla","19"
"loy","19"
"Sta","19"
"Bur","18"
"nam","18"
"bel","18"
"mse","18"
"lve","18"
"now","18"
"red","18"
"det","18"
"sma","18"
"tru","18"
"las","18"
"tol","18"
"exc","18"
"tie","18"
"vis","18"
"inc","18"
"did","18"
"Min","18"
"pur","18"
"rac","18"
"May","17"
"ach","17"
"amo","17"
"oun","17"
"uld","17"
"inf","17"
"gue","17"
"bar","17"
"fol","17"
"eme","17"
"ldr","17"
"nts","17"
"ope","17"
"sev","17"
"sto","17"
"ori","17"
"hor","16"
"ary","16"
"ens","16"
"vic","16"
"tly","16"
"tem","16"
"tic","16"
"sch","16"
"pub","16"
"rig","16"
"occ","16"
"ria","16"
"tow","16"
"Dep","15"
"lit","15"
"suf","15"
"mos","15"
"ely","15"
"dit","15"
"ser","15"
"mai","15"
"pen","15"
"les","15"
"lif","15"
"exa","15"
"sub","15"
"erv","15"
"emi","15"
"ges","15"
"ard","15"
"Sch","15"
"use","15"
"pas","15"
"may","15"
"mov","15"
"har","15"
"ita","15"
"Pro","15"
"hum","15"
"urn","14"
"por","14"
"ong","14"
"bor","14"
"hel","14"
"ial","14"
"ded","14"
"bet","14"
"cri","14"
"Con","14"
"gua","14"
"ept","14"
"ref","14"
"ali","14"
"Nat","14"
"tar","14"
"ker","14"
"cia","14"
"zat","14"
"Sof","14"
"vid","14"
"tot","13"
"han","13"
"shi","13"
"cee","13"
"dif","13"
"All","13"
"col","13"
"edi","13"
"gin","13"
"fee","13"
"Aug","13"
"bab","13"
"ght","13"
"ner","13"
"Sep","13"
"Jan","13"
"doc","13"
"aut","12"
"que","12"
"clo","12"
"rem","12"
"tal","12"
"unt","12"
"But","12"
"sum","12"
"ven","12"
"air","12"
"bus","12"
"how","12"
"ask","12"
"dem","12"
"sit","12"
"wha","12"
"pat","12"
"vio","12"
"ona","12"
"mig","12"
"ann","12"
"ool","12"
"iva","12"
"icl","12"
"orc","12"
"ees","12"
"ise","11"
"usa","11"
"ond","11"
"rly","11"
"fre","11"
"hom","11"
"add","11"
"gro","11"
"nti","11"
"wel","11"
"sse","11"
"ked","11"
"lik","11"
"tai","11"
"six","11"
"let","11"
"ths","11"
"put","11"
"war","11"
"aus","11"
"ily","11"
"uat","11"
"cre","11"
"lab","11"
"sib","11"
"nin","11"
"awa","11"
"ual","11"
"Whe","11"
"eff","11"
"hts","11"
"ome","11"
"ves","11"
"Buc","11"
"sam","11"
"pra","11"
"dir","11"
"mak","11"
"tes","11"
"nom","11"
"pec","11"
"qua","11"
"spa","11"
"ina","11"
"fat","11"
"lev","11"
"ban","11"
"beg","10"
"tit","10"
"dan","10"
"roa","10"
"exi","10"
"igi","10"
"nte","10"
"duc","10"
"fis","10"
"nge","10"
"ill","10"
"ert","10"
"ran","10"
"dai","10"
"few","10"
"oug","10"
"imm","10"
"ite","10"
"fut","10"
"bed","10"
"rte","10"
"ult","10"
"rev","10"
"way","10"
"tan","10"
"iou","10"
"ime","10"
"dow","10"
"ire","10"
"fur","10"
"Dec","10"
"Som","10"
"lud","10"
"uar","10"
"nev","10"
