"tokens","occurrences"
"th","2210"
"in","998"
"of","912"
"an","856"
"re","766"
"to","751"
"on","643"
"er","589"
"en","516"
"at","514"
"ed","507"
"ti","503"
"st","502"
"me","448"
"te","443"
"es","435"
"ar","422"
"is","421"
"be","382"
"de","381"
"co","369"
"Je","366"
"wi","344"
"ha","337"
"fo","335"
"le","335"
"we","334"
"ve","316"
"nt","314"
"al","300"
"or","296"
"wh","292"
"se","280"
"Th","279"
"sh","273"
"pr","271"
"ma","271"
"ca","267"
"it","266"
"wa","251"
"he","248"
"ll","241"
"ce","238"
"ou","228"
"no","224"
"ta","222"
"pe","221"
"ns","219"
"ri","218"
"ic","214"
"ws","210"
"la","210"
"rt","209"
"io","208"
"si","203"
"ng","199"
"di","198"
"un","194"
"li","189"
"po","188"
"as","187"
"ly","187"
"ne","185"
"ra","180"
"om","172"
"nd","170"
"ch","158"
"ni","157"
"tr","155"
"fr","154"
"ac","152"
"rs","148"
"by","146"
"em","146"
"su","143"
"pa","140"
"op","138"
"mo","137"
"fi","136"
"ie","132"
"ci","131"
"ur","130"
"mi","127"
"so","127"
"ei","126"
"us","125"
"ea","120"
"ct","119"
"el","116"
"il","114"
"Co","113"
"mp","113"
"ss","112"
"ia","109"
"ge","108"
"ec","108"
"bu","107"
"wo","107"
"mm","104"
"ow","104"
"ag","104"
"vi","103"
"gh","103"
"ho","100"
"rm","98"
"na","97"
"sp","96"
"et","93"
"ad","92"
"fa","92"
"ai","91"
"ex","89"
"fe","88"
"sa","86"
"lo","86"
"nc","86"
"rn","85"
"ot","84"
"pl","84"
"rk","83"
"da","83"
"Bu","82"
"hi","82"
"sc","82"
"ga","81"
"ev","81"
"cl","80"
"ke","80"
"ts","80"
"od","78"
"ab","78"
"ul","77"
"ap","77"
"gr","77"
"os","76"
"ey","76"
"id","75"
"rr","75"
"pu","73"
"ro","73"
"ee","71"
"mb","71"
"ba","71"
"In","70"
"ol","70"
"bl","70"
"rd","69"
"gi","66"
"tu","63"
"Ge","62"
"iv","61"
"im","60"
"gu","60"
"ld","60"
"tt","58"
"va","58"
"Fr","57"
"Ru","56"
"ov","55"
"am","54"
"Au","53"
"do","53"
"go","51"
"bo","50"
"nk","50"
"rc","49"
"ty","49"
"ry","48"
"Mr","48"
"We","47"
"rg","46"
"cr","46"
"br","46"
"yo","45"
"dt","45"
"av","45"
"ig","45"
"De","44"
"mu","44"
"fu","44"
"Ma","43"
"af","43"
"qu","43"
"oc","42"
"ir","41"
"tw","41"
"dr","41"
"lg","41"
"ff","40"
"pt","40"
"Go","40"
"ae","40"
"cu","39"
"Se","38"
"nu","38"
"ck","38"
"ue","37"
"ft","37"
"ut","36"
"rv","36"
"ob","36"
"up","36"
"SS","36"
"Na","35"
"La","34"
"rl","34"
"Re","33"
"Pr","33"
"hu","32"
"ze","32"
"lu","31"
"ki","31"
"ny","29"
"pp","29"
"So","29"
"lt","29"
"tl","29"
"It","29"
"ye","29"
"wn","28"
"au","27"
"sm","26"
"pi","26"
"ys","25"
"lf","25"
"uc","25"
"No","25"
"He","25"
"hw","25"
"kn","24"
"rp","24"
"zi","24"
"Ho","23"
"ua","23"
"du","23"
"bi","23"
"wr","22"
"ds","22"
"ib","22"
"ug","22"
"St","22"
"ru","22"
"Mi","22"
"ok","22"
"Be","22"
"gs","22"
"lv","21"
"jo","21"
"if","21"
"nf","21"
"ef","21"
"vo","21"
"oy","21"
"Fo","20"
"ay","20"
"On","19"
"Cz","19"
"hs","19"
"my","19"
"ud","18"
"nn","18"
"ek","18"
"Al","18"
"ms","18"
"hm","18"
"ip","17"
"Ra","17"
"Pe","17"
"aw","17"
"tc","17"
"Wh","16"
"sl","16"
"ph","16"
"Ch","15"
"Sc","15"
"ls","15"
"Af","15"
"Dr","15"
"Pa","14"
"gl","14"
"Ar","14"
"za","14"
"Ja","14"
"Wo","13"
"En","13"
"As","13"
"ep","13"
